Product_ID	Product_id_LAST	is_in_catalog	value
372	39873	0	"Aglianico del Vulture DOC ""Zimberno"" 2013 - Michele Laluce"
373	32318	0	"Aglianico del Vulture DOC ""S'Adatt"" 2013 - Michele Laluce"
374	374	0	
376	376	0	
377	377	0	
378	378	0	
379	379	0	
380	380	0	
382	1099	0	Amarone della Valpolicella Classico DOC 2006 - Bertani (cassetta di legno)
383	55477	0	"Amarone della Valpolicella Valpantena DOCG 2016 ""Valpantena"" - Bertani"
384	6221	0	"Valpolicella Classico Superiore DOC Ripasso ""Villa Novare"" 2013 - Villa novare - Bertani "
385	13984	0	"Valpolicella Classico DOC ""Villa Novare"" 2015 - Villa novare, Bertani"
386	38617	0	"Soave DOC ""Sereole"" 2017 - Bertani"
388	388	0	
389	39309	0	Sauvignon Blanc 2016 - Urlar 
390	390	0	
391	391	0	
393	58162	0	Rosso Conero DOC 2015 - Piantate Lunghe
394	69169	0	"Conero DOCG ""Rossini"" 2015 - Piantate Lunghe"
397	4034	0	"Grechetto di Todi DOC ""Fiordaliso"" 2014 - Roccafiore"
398	82108	0	"Umbria Grechetto IGT ""Fiorfiore"" 2018 - Roccafiore"
399	4037	0	"Todi Rosso DOC ""Rosso Melograno"" 2013 - Roccafiore"
400	400	0	
401	89408	0	"Umbria Rosso IGT ""Prova d'Autore"" 2017 - Roccafiore"
403	39301	0	"Dogliani DOCG ""Bricco San Bernardo"" 2012 - Bricco del Cucù"
404	76815	0	"Langhe Rosso DOC ""Superboum"" 2013 - Bricco del Cucù"
405	39305	0	"Langhe Bianco DOC ""Livor"" 2017 - Bricco del Cucù"
407	1282	0	"Sicilia Rosso IGT ""Terra di Vento"" 2011 - Enza La Fauci"
408	408	0	
409	10943	0	"Terre Siciliane Bianco DOC ""Case Bianche"" 2014 - Enza la Fauci"
410	410	0	
411	10944	0	"Faro DOC ""Oblì"" 2012 - Enza La Fauci"
414	414	0	
415	1892	0	Franciacorta DOCG Satèn Millesimato 2010 - Le Marchesine
416	2880	0	Franciacorta DOCG Rosé Brut 2010 - Le Marchesine
417	16516	0	Franciacorta DOCG Blanc de blancs 2009 - Le Marchesine
418	893	0	Franciacorta DOCG Blanc de Noir 2010 - Le Marchesine
420	420	0	
421	421	0	
423	423	0	
424	424	0	
426	426	0	
427	427	0	
428	428	0	
429	429	0	
430	430	0	
432	39301	0	"Dogliani DOCG ""Bricco San Bernardo"" 2012 - Bricco del Cucù"
433	434	0	"Campania Fiano IGP ""Cardogneto"" 2011 - Cocciacavallo"
434	434	0	
435	435	0	
440	440	0	
441	441	0	
442	442	0	
444	444	0	
445	445	0	
446	446	0	
447	447	0	
448	448	0	
450	90324	0	"Colli di Luni Vermentino DOC ""Costa Marina"" 2020 - Ottaviano Lambruschi"
451	90325	0	"Colli di Luni Vermentino DOC ""Il Maggiore"" 2020 - Ottaviano Lambruschi"
452	90326	0	"Colli di Luni Rosso DOC ""Maniero"" 2020 - Ottaviano Lambruschi"
454	454	0	
455	455	0	
458	458	0	
460	460	0	
461	461	0	
463	463	0	
464	464	0	
466	466	1	
467	467	0	
468	468	0	
469	469	0	
471	471	0	
472	472	0	
473	473	0	
